Crime, Location, Date

TRESPASS,1215 Lee Street,3-11-2019

ACCIDENT,420 Lane Road  NO PI,3-14-2019

"DIP, TRESPASSING",1215 Lee Street,3-14-2019

ASSIST AGENCY,1215 Lee Street,3-14-2019

HIT AND RUN,1215 Lee Street  NO PI,3-14-2019

HIT AND RUN,1335 Lee Street  NO PI,3-15-2019

ASSIST CITIZEN: ECO,1240 Lee Street,3-16-2019

HIT AND RUN,1215 Lee Street  NO PI,3-16-2019

ASSIST AGENCY,1215 Lee Street,3-16-2019

LARCENY,117 11th Street SW,3-16-2019

LARCENY,1215 Lee Street,3-16-2019

SHOPLIFTING,1215 Lee Street,3-16-2019

SEX ASSAULT,1215 Lee Street,3-16-2019

ASSIST AGENCY,1215 Lee Street,3-17-2019

ASSAULT,1215 Lee Street,3-17-2019

HIT AND RUN,1210 Lee Street  NO PI,3-17-2019

"FRAUD, TRESPASS",1215 Lee Street,3-18-2019

PROPERTY DAMAGE,1240 Lee Street    2,3-19-2019

ACCIDENT,500 McCormick Road  NO PI    2,3-19-2019

HIT &amp; RUN,1105 Main Street NO PI    2,3-19-2019

ASSIST AGENCY /WARRANT SERVICE,1215 Lee Street  2,3-19-2019

FORGERY/COUNTERFFEITING,1215 Lee Street   2,3-19-2019

ASSAULTSIMPLE,1215 Lee Street    2,3-19-2019

ASSIST CITIZEN,1215 Lee Street     2,3-20-2019

FIRES NOT ARSON,148 Amphitheater Way     2,3-20-2019

ASSIST AGENCY,1215 Lee Street     2,3-20-2019

HIT &amp; RUN,117 11TH ST SW  NO PI   2,3-20-2019

ASSIST AGENCY,1335 Lee Street     2,3-20-2019

ASSIST CITIZEN MENTAL,1221 Lee Street    2,3-20-2019

SUSPICIOUS ACTIVITIES,311 Gooch Dorm    2,3-20-2019

ASSIST CITIZEN MEDICAL,478 Floyd Drive   2,3-20-2019

ASSIST CITIZEN: MEDICAL; ACCIDENT,1215 Lee Street  2,3-21-2019

ASSIST CITIZEN MEDICAL,295 Massie Road    2,3-21-2019

LOST PROPERTY,385 McCormick Road     2,3-21-2019

ASSIST AGENCY,1215 Lee Street     2,3-21-2019

LARCENY,1540 Jefferson Park Avenue    2,3-21-2019

TRESPASS,1210 Lee Street     2,3-22-2019

ACCIDENT,180 McCormick Road  NO PI   2,3-22-2019

VANDALISM,409 Lane Road     2,3-22-2019

STALKING,450 Whitehead Road     2,3-22-2019

ASSIST AGENCY,1215 Lee Street     2,3-22-2019

MEDICAL ASSIST,430 Tree House Drive     2,3-23-2019

ASSIST CITIZENMEDICAL,58 Lambeth Commons    2,3-23-2019

ASSIST CITIZENMENTAL,117 11th Street SW   2,3-23-2019

PROPERTY DAMAGE,130 Culbreth Road    2,3-23-2019

PROPERTY DAMAGE,1210 Lee Street    2,3-23-2019

TRESSPASS,130 Culbreth Road     2,3-24-2019

"ASSIST CITIZEN, UNDERAGE POSSESSION",73 Lambeth Commons 2,3-24-2019

HIT AND RUN,1015 Massie Road NO PI     2,3-24-2019

"ASSIST CITIZEN, UNDERAGE POSSESSION",195 Vaughan Dr  2,3-25-2019

"ASSIST CITIZEN, UNDERAGE POSSESSION",583 Brandon Ave  2,3-25-2019

"ASSIST CITIZEN, UNDERAGE POSSESSION",579 McCormick Rd  2,3-25-2019

ASSIST AGENCY,1215 Lee Street     2,3-25-2019

ASSAULT SIMPLE,1215 Lee Street     2,3-26-2019

LARCENY,561 McCormick Road      2,3-26-2019

PROPERTY DAMAGE,570 Massie Road    2,3-26-2019

ASSIST AGENCY,304 Peyton Ct     2,3-26-2019

STATE VEHICLE CRASH,300 Massie Road  NO PI   2,3-27-2019

ACCIDENT,380 Crispell Dr   NO PI  2,3-27-2019

HARASSMENT,1222 Jefferson Park Avenue    2,3-27-2019

FOUND PROPERTY,1215 Lee Street    2,3-27-2019

HARASSMENT BY COMPUTER,1215 Lee Street   2,3-28-2019

TRESPASS,1326 Rugby Road     2,3-28-2019

ANIMAL COMPLAINT/ASSIST CITIZEN,285 Peyton Court  2,3-29-2019

LOST PROPERTY,450 Whitehead Road    2,3-29-2019

ACCIDENT,1200 Lee Street  NO PI   2,3-29-2019

TRESPASS,2715 Fontaine Ave Extended    2,3-29-2019

VANDALISM,1709 University Avenue    2,3-29-2019

ASSIST CITIZEN MEDICAL,180 McCormick Road   2,3-29-2019

ACCIDENT,457 Pratt Drive  NO PI   2,3-30-2019

MISSING PERSONJUVENILE,1204 West Main Street   2,3-30-2019

POSSESSION OF MARIJUANA,774 Alderman Road   2,3-30-2019

FRAUDWIREFRAUD,110 Bayly Drive    2,3-30-2019

DRUG INVESTIGATION,774 Alderman Road    2,3-31-2019

LARCENY,2304 Ivy Road      2,3-31-2019

ASSIST CITIZEN  WELFARE CHECK,122 Engineers Way  2,3-31-2019

LOST PROPERTY,1826 University Avenue    2,3-31-2019

FOUND PROPERTY,461 Lambeth Commons #2    2,3-31-2019

FOUND PROPERTY,2304 Ivy Road     2,3-31-2019

ASSIST AGENCY,1215 Lee Street     2,3-31-2019

FOUND PROPERTY,180 McCormick Road    2,3-31-2019

ASSAULT SIMPLE,1215 Lee Street     2,3-31-2019

"ASSIST CITIZEN, UNDERAGE POSSESSION",579 McCormick Rd  2,3-31-2019

"ASSIST CITIZEN, ALCOHOL OD",579 McCormick Rd   2,3-31-2019

"ASSIST CITIZEN, UNDERAGE POSSESSION",62 Monroe Hill  2,3-31-2019

ASSIST CITIZEN,164 McCormick Road    2,4-1-2019

TRESPASS,1240 Lee Street     2,4-1-2019

ASSIST AGENCYWARRANT,1222 Jefferson Park Ave   2,4-1-2019

ASSIST AGENCY WARRANT,450 Tree House Drive   2,4-1-2019

SEX OFFENSE: RAPE,478 Floyd Drive    2,4-1-2019

VANDALISM,1335 Lee Street      2,4-1-2019

ASSIST AGENCYWARRANT,1215 Lee Street    2,4-1-2019

LARCENY,10 Duffy Boulevard       2,4-1-2019

SIMPLE ASSAULT,1215 Lee Street                2,4-2-2019

LARCENY FROM VEHICLE,250 Hereford Drive          2,4-2-2019

LARCENY FROM BUILDING,505 Edgemont Road          2,4-2-2019

LARCENY,1215 Lee Street     2,4-3-2019

FOUND PROPERTY,1335 Lee Street    2,4-3-2019

ASSIST CITIZENWELFARE CHECK,1215 Lee Street   2,4-3-2019

VEHICLE CRASH,1240 Lee Street   NO PI  2,4-3-2019

DRIVERS EXCHANGE,1210 Lee Street  NO PI  2,4-3-2019

HAZING,130 Madison Lane     2,4-3-2019

DATING VIOLENCE,10 Duffy Blvd     2,4-3-2019

ASSIST AGENCYBACKUP,500 Emmet St    2,4-4-2019

HIT &amp; RUN,380 Crispell Dr  NO PI   2,4-4-2019

HARASSMENT BY COMPUTER,1702 University Avenue    2,4-4-2019

"DIP, ASSIST CITIZEN MEDICAL",1540 JPA     2,4-4-2019

LARCENY,575 Alderman Road     2,4-5-2019

ASSIST CITIZEN/ ECO,210 Emmet Street S    2,4-5-2019

DRUNK IN PUBLIC,100 Elliewood Avenue    2,4-6-2019

"ASSIST CITIZEN, UNDERAGE POSSESSION",25 Hancock Drive  2,4-6-2019

ASSIST AGENCY WARRANT,1215 Lee Street    2,4-6-2019

ASSIST CITIZEN MEDICAL,1826 University Avenue   2,4-6-2019

FIRENOT ARSON,163 Rugby Road     2,4-6-2019

ASSIST CITIZEN MEDICAL,295 Massie Road   2,4-6-2019

FOUND PROPETY,567 Mccormick Road    2,4-7-2019

LARCENY,560 Buckler Drive                   2,4-7-2019

FOUND PROPETY,2304 Ivy Road     2,4-7-2019

LARCENY,16 East Lawn      2,4-7-2019

FOUND PROPERTY,1826 University Avenue    2,4-7-2019

ASSIST CITIZEN MEDICAL,100 Darden Boulevard   2,4-8-2019

ACCIDENT PROPERTY DAMAGE,500 Monroe Lane   2,4-8-2019

LARCENY,180 McCormick Road     2,4-8-2019

TRESPASS,295 Massie Road     2,4-8-2019

VANDALISM,10 E Pavilion      2,4-9-2019

VANDALISM,1826 University Avenue     2,4-9-2019

ASSIST CITIZEN/UNDERAGE POSSESSION,555 McCormick Rd  2,4-9-2019

FOUND PROPERY,1702 University Avenue    2,4-9-2019

LARCENY/VANDALISM,115 Madison Lane    2,4-9-2019

ASSIST CITIZEN,210 S Emmet Street    2,4-9-2019

LARCENY,85 University Gardens     2,4-9-2019

ASSIST CITIZEN MEDICAL,295 Massie Road    2,4-9-2019

ASSIST CITIZEN MEDICAL,164 McCormick Road    2,4-9-2019

ASSIST CITIZEN/UNDERAGE POSSESSION,57 Lambeth Commons  2,4-10-2019

ASSIST CITIZEN MEDICAL,425 Treehouse Drive   2,4-10-2019

SAFEKEEPING,1215 Lee Street      2,4-10-2019

POSSIBLE MASTURBATING IN PUBLIC,1335 Lee Street   2,4-10-2019

ACCIDENT,145 McCormick Road NO PI    2,4-11-2019

"SIMPLE ASSAULT, VANDALISM",1215 Lee Street   2,4-11-2019

SEX OFFENSE: RAPE,435 Treehouse Drive    2,4-11-2019

ASSIST AGENCYWARRANT,1215 Lee Street    2,4-11-2019

LARCENY,1215 Lee Street     2,4-11-2019

UNDERAGE POSSESSION/LITTERING,1989 University Ave  2,4-11-2019

TRESPASS,510 Massie Road     2,4-12-2019

ASSIST AGENCY,1222 Jefferson Park Avenue   2,4-12-2019

LARCENY,415 Lane Road      2,4-12-2019

LARCENY,100 Newcomb Road North    2,4-12-2019

DATING VIOLENCE,225 Hereford Drive    2,4-12-2019

ASSIST CITIZEN,400 Emmet St S     2,4-13-2019

HIT &amp; RUN,530 Buckler Drive  NO PI   2,4-13-2019

LARCENY,1815 Stadium Road     2,4-13-2019

FOUND PROPERTY,295 Massie Road     2,4-13-2019

FIRES NOT ARSON,583 Brandon Avenue    2,4-13-2019

ASSIST AGENCY,1210 Lee Street     2,4-13-2019

FOUND PROPERTY,1401 University Avenue    2,4-14-2019

DOMESTIC ASSAULT/VANDALISM,1335 Lee Street   2,4-14-2019

WIRE FRAUD,2304 Ivy Road     2,4-14-2019

PETIT LARCENY,1215 Lee Street     2,4-14-2019

STALKING,1215 Lee Street     2,4-15-2019

ACCIDENT,1001 Emmet Street   NO PI  2,4-15-2019

ACCIDENT PROPERTY DAMAGE,1815 Stadium Rd NO PI  2,4-16-2019

LARCENY,1215 Lee Street     2,4-16-2019

PAST VANDALISM,5 West Lawn     2,4-16-2019

ACCIDENT,1215 Lee Street NO PI    2,4-16-2019

STALKING,1021 Wertland Street     2,4-16-2019

HIT AND RUN,1210 Lee Street     2,4-16-2019

ASSIST CITIZEN MISC,15 West Range    2,4-16-2019

HIT AND RUN,117 11th STREET SW NO PI   2,4-16-2019

PROPERTY DAMAGE,1210 Lee Street    2,4-16-2019

ACCIDENT PROPERTY DAMAGE,300 Massie Road   2,4-16-2019

ASSIST CITIZEN MEDICAL,2 University Circle   2,4-16-2019

"NARCOTICS, UNDERAGE POSSESION",450 Tree House Drive  2,4-17-2019

NARCOTICS VIOLATION,450 Tree House Drive   2,4-18-2019

TRESPASS,1215 Lee Street     2,4-18-2019

ASSIST CITIZEN,1404 Jefferson Park Avenue   2,4-18-2019

LARCENY FROM AUTO,117 11th St SW    2,4-18-2019

TRESPASS,1215 Lee Street      2,4-19-2019

TRAFFIC ACCIDENT,300 Massie Road  NO PI  2,4-19-2019

LOST PROPERTY,417 Emmet Street South    2,4-19-2019

SUSPICIOUS LETTERS,2304 Ivy Road    2,4-19-2019

ASSIST CITIZEN MENTAL,600 McCormick Road     2,4-20-2019

LOST PROPERTY,180 McCormick Road     2,4-20-2019

FOUND PROPERTY,1340 Jefferson Park Ave   2,4-20-2019

ASSIST CITIZEN/UNDERAGE POSSESSION,20 Bonnycastle Dr     2,4-21-2019

"POSSESSION OF MARIJUANA, FALSE ID",450 Treehouse Dr   2,4-21-2019

LOST PROPERTY,485 McCormick Road       2,4-21-2019

TRESPASS,2 East Pavilion     2,4-22-2019

LARCENY,395 McCormick Road     2,4-23-2019

LARCENY,395 McCormick Road     2,4-23-2019

BURGLARY,179 Culbreth Road     2,4-24-2019

VANDALISM,179 Culbreth Road     2,4-24-2019

LARCENY,450 Whitehead Road     2,4-24-2019

STATE VEHICLE CRASH,1215 Lee Street NO PI   2,4-24-2019

NONCONSENSUAL PHOTOGRAPHY,40 South Lawn   2,4-24-2019

HIT AND RUN,504 Buckler drive   NO PI  2,4-24-2019

LOST PROPERTY,14 East Lawn         2,4-25-2019

PROPERTY DAMAGE,1210 Lee Street        2,4-25-2019

VEHICLE CRASH,585 McCormick Road NO PI      2,4-25-2019

LOST PROPERTY,1215 Lee Street           2,4-26-2019

FOUND PROPERTY,1105 West Main Street        2,4-26-2019

DRUNK IN PUBLIC,1505 University Avenue,4-27-2019

AGGRAVATED ASSAULT,185 McCormick Road,4-27-2019

PROPERTY DAMAGE,610 McCormick Road,4-27-2019

FIRES NOT ARSON,1105 W. Main Street,4-27-2019

FOUND PROPERTY,1215 Lee Street,4-27-2019

"MEDICAL ASSIST, UNDERAGE POSSESSION",195 Vaughan Dr,4-28-2019

"MEDICAL ASSIST, UNDERAGE POSSESSION, FALSE ID",20 Bonny,4-28-2019

LARCENY,164 McCormick Road,4-28-2019

MEDICAL ASSIST,180 McCormick Road,4-28-2019

VIOLATE PROTECTIVE ORDER,1215 Lee Street,4-28-2019

"MEDICAL ASSIST, UNDERAGE POSSESSION",478 Floyd Dr,4-29-2019

"MEDICAL ASSIST, UNDERAGE POSSESSION",201 Sprigg Lane,4-29-2019

DRUNK IN PUBLIC,1329 W. Main Street,4-29-2019

HIT AND RUN,130 Darden Blvd  NO PI,4-29-2019

HARASSING EMAIL,180 Culbreth Road,4-30-2019

SUSPICIOUS PACKAGE,409 Lane Road,4-30-2019

LARCENY,405 Emmet Street,4-30-2019

MEDICAL ASSIST,400 Brandon Ave,4-30-2019

FOUND PROPERTY,1335 Lee Street,4-31-2019

ASSAULT  INTIMIDATION,1335 Lee Street,4-31-2019

LARCENY,1105 W. Main Street,4-31-2019

SUSPICIOUS ACTIVITY,1340 Jefferson Park Avenue,4-31-2019

LOST PROPERTY,795 Alderman Road,4-31-2019

DISTURBING THE PEACE,1215 Lee Street,5-1-2019

PROPERTY DAMAGE,1815 Stadium Road    2,5-1-2019

ASSAULT,1215 Lee Street     2,5-1-2019

PROPERTY DAMAGE,1215 Lee Street,5-2-2019

PROPERTY DAMAGE,409 McCormick Road,5-2-2019

ASSIST CITIZEN: WELFARE CHECK,160 McCormick Road,5-2-2019

SUSPICIOUS LETTER,200 Jeanette Lancaster Way,5-2-2019

SUSPICIOUS LETTER,1827 University Avenue,5-2-2019

SUSPICIOUS ACTIVITY,235 McCormick Road #200A,5-2-2019

LARCENY,64 Lambeth Commons,5-2-2019

"ASSIST CITIZEN, DIP",1702 University Avenue,5-3-2019

SUSPICIOUS LETTER,1415 Jefferson Park Avenue,5-3-2019

LARCENY,1215 Lee Street,5-3-2019

FIRES NOT ARSON,1210 Lee Street,5-3-2019

"ROBBERYPURSE SNATCH, DOMESTIC ASSAULT",1215 Lee St,5-4-2019

HIT &amp; RUN,64 Lambeth Commons,5-5-2019

LARCENY,1408 Jefferson Park Avenue,5-5-2019

LARCENY,1404 Jefferson Park Avenue,5-5-2019

LOST PROPERTY,1215 Lee Street,5-5-2019

THREATENING EMAIL,583 Brandon Avenue,5-6-2019

LARCENY,44 East Range,5-6-2019

ASSAULT BY INTIMIDATION,525 McCormick Road,5-7-2019

PROPERTY DAMAGE,1015 Massie Road,5-7-2019

FOUND PROPERTY,160 McCormick Road,5-7-2019

LOST PROPERTY,1204 West Main Street,5-7-2019

PROPERTY DAMAGE,380 Crispell Drive,5-7-2019

ASSAULT BY INTIMIDATION,600 McCormick Road,5-7-2019

VEHICLE CRASH,1215 Lee Street NO PI,5-7-2019

TRESPASSING,1826 University Avenue,5-8-2019

PROPERTY DAMAGE,1210 Lee Street,5-8-2019

LOST PROPERTY,145 McCormick Road,5-8-2019

HIT AND RUN,295 Massie Road,5-8-2019

PROPERTY DAMAGE,30 S Lawn,5-9-2019

PROPERTY DAMAGE,575 Alderman Rd,5-9-2019

SIMPLE ASSAULT,1215 Lee St,5-9-2019

STALKING,164 McCormick Road,5-10-2019

TRESPASS,1210 Lee Street,5-10-2019

TRESPASS,1215 Lee Street,5-10-2019

ASSIST CITIZEN,295 Massie Road,5-10-2019

FOUND PROPERTY,600 Massie Road,5-10-2019

FRAUDWIRE FRAUD,1240 Lee Street,5-11-2019

ASSIST CITIZEN,2304 Ivy Road,5-11-2019

LARCENY,425 Tree House Dr,5-11-2019

SIMPLE ASSAULT,1215 Lee Street,5-11-2019

LARCENY,110 Bayly Drive,5-11-2019

VANDALISM,202 Jeanette Lancaster Way,5-12-2019

LARCENY FALSE PRETENSE,520 Seymour Road #8,5-12-2019

HIT AND RUN,117 11th Street   NO PI,5-13-2019

TRESPASS,3739 Blenheim Road,5-13-2019

ASSIST CITIZEN  MENTAL,1210 Lee St.,5-14-2019

DRIVER EXCHANGE,500 Edgemont RD,5-14-2019

LARCENY,1204 W Main Street,5-15-2019

PROPERTY DAMAGE,160 McCormick Road,5-15-2019

DRIVER EXCHANGE,2009 Stadium Road,5-15-2019

ASSIST CITIZEN MEDICAL,2504 Stadium Road East,5-15-2019

TRESPASS,1815 Stadium Road,5-16-2019

TRESPASS,1815 Stadium Road,5-16-2019

TRESPASS,1815 Stadium Road,5-16-2019

FOUND PROPERTY,1215 Lee Street,5-16-2019

LARCENY,47 West Lawn,5-17-2019

ACCIDENT,1215 Lee Street NO PI,5-19-2019

ASSIST AGENCY,1215 Lee St,5-19-2019

POLICE CRASH REPORT,11th St SW,5-20-2019

PROPERTY DAMAGE,1210 Lee St,5-20-2019

FOUND PROPERTY,1989 University Avenue,5-20-2019

SUSPICIOUS EMAILS,1540 Jefferson Park Avenue,5-20-2019

ASSIST AGENCYWARRANT SERVICE,1215 Lee Street,5-20-2019

HIT AND RUN,117 11 1/2 Street,5-21-2019

ASSIST AGENCY WARRANT SERVICE,1215 Lee Street,5-21-2019

LOST PROPERTY,210 Copeley Road,5-21-2019

ASSAULT SIMPLE,1222 Jefferson Park Ave,5-22-2019

UNWANTED CONTACT,109 Culbreth Rd,5-22-2019

STATE CRASH REPORT,295 Massie Rd,5-22-2019

STATE CRASH REPORT,485 McCormick Rd,5-22-2019

LARCENY,1215 Lee St,5-22-2019

LARCENY,40 South Lawn,5-23-2019

PHONE CALLSANNOYING,1827 University Ave,5-23-2019

"TRESPASS, DIP",1601 University Ave,5-25-2019

VANDALISM,1215 Lee Street,5-25-2019

SIMPLE ASSULT,1215 Lee Street,5-26-2019

LARCENY,1215 Lee Street,5-27-2019

LARCENY,1702 University,5-28-2019

LARCENY,101 hospital Drive,5-28-2019

VEHICLE CRASH,27 Poe Alley  NO PI,5-28-2019

ASSIST CITIZEN/WELFARE CHECK,380 Crispell Drive,5-28-2019

ACCIDENT,1101 Millmont Street  NO PI,5-29-2019

LARCENY,151 Rugby Rd,5-29-2019

LARCENY,136 Hospital Drive,5-29-2019

DRIVER EXCHANGE,1210 Lee St  NO PI,5-29-2019

HIT AND RUN,400 Emmet St    NO PI,5-29-2019

ASSIST CITIZEN/ MEDICAL,117 11th St,5-29-2019

MOTOR VEHICLE THEFT,173 Culbreth Rd,5-29-2019

ASSIST AGENCY,1215 Lee St,5-29-2019

FOUND PROPERTY,1221 Lee St,5-29-2019

ASSIST CITIZENMENTAL,1215 Lee Street,5-29-2019

LARCENY,1215 Lee Street,5-29-2019

BURGLARY,1335 Lee Street,5-29-2019

HIT AND RUN,117 11th Street  NO PI,5-29-2019

FOUND PROPERTY,1815 Stadium Road,5-29-2019

PROPERTY DAMAGE,5 West Pavilion,5-29-2019

MISSING PERSON,1215 Lee Street,5-29-2019

ASSIST CITIZEN MENTAL,1240 Lee Street,6-1-2019

FOUND PROPERTY,1400 University Ave,6-1-2019

FORCIBLE FONDLING,1215 Lee Street,6-1-2019

ACCIDENT,14 East Lawn  NO PI,6-1-2019

ASSAULTSIMPLE,1215 Lee Street,6-1-2019

ASSAULTSIMPLE,1215 Lee Street,6-1-2019

LARCENY,1215 Lee Street,6-2-2019

FOUND PROPERTY,2304 Ivy Rd,6-2-2019

ASSIST CITIZENMEDICAL,295 Massie Rd,6-2-2019

FOUND PROPERTY,1215 Lee Street,6-2-2019

LARCENY,1210 Lee Street,6-2-2019

GAS LEAK,583 Brandon Avenue,6-3-2019

ASSIST AGENCY,1215 Lee Street,6-3-2019

LARCENY,1215 Lee Street,6-3-2019

PROPERTY DAMAGE,40 South Lawn,6-4-2019

STALKING,190 McCormick Road,6-4-2019

ASSIST AGENCY,1215 Lee Street,6-4-2019

FOUND PROPERTY,136 Hospital Drive,6-5-2019

FRAUD,1215 Lee Street,6-5-2019

LARCENY,610 Edgemont Road,6-5-2019

LOST PROPERTY,180 McCormick Road,6-5-2019

ASSIST AGENCY: WARRANT,1215 Lee Street,6-5-2019

VANDALISM,21 Rotunda Drive,6-6-2019

LARCENY,1215 Lee Street,6-6-2019

NARCOTICS VIOLATION,145 McCormick Road,6-6-2019

ASSIST AGENCY,1215 Lee St,6-7-2019

DRUG/NARCOTICS VIOLATION,130 Culbreth Road,6-8-2019

ASSIST AGENCY,1215 Lee St,6-9-2019

DRIVER EXCHANGE,295 Massie Rd,6-9-2019

VANDALISM,15 Hancock Drive,6-10-2019

STALKING,1709 University Avenue,6-10-2019

MEDICAL ASSIST/WELFARE CHECK,141 Cabell Drive,6-10-2019

ASSIST AGENCY/WARRANT SERVICE,1215 Lee St,6-11-2019

FRAUD,470 Farrish Circle,6-11-2019

DRIVER EXCHANGE,395 McCormick Rd  NO PI,6-11-2019

LARCENY,1240 Lee Street,6-12-2019

VANDALISM,1221 Lee Street,6-12-2019

LARCENY,1210 Lee Street,6-12-2019

STATE VEHICLE CRASH,570 McCormick Road NO PI,6-13-2019

LARCENY,1321 Lee Street,6-13-2019

CHEMICAL LEAK,1204 W. Main Street #2110A,6-13-2019

SIMPLE ASSAULT,1215 Lee Street,6-13-2019

FOUND PROPERTY,1215 Lee Street,6-14-2019

FOUND PROPERTY,2304 Ivy Road,6-14-2019

DISORDERLY CONDUCT,600 Brandon Avenue,6-14-2019

ACCIDENT,12 Rotunda Drive  NO PI,6-14-2019

ASSIST AGENCY/WARRANT SERVICE,1215 Lee Street,6-14-2019

TRESPASS,1215 Lee Street,6-15-2019

ASSIST AGENCY,180 McCormick Road,6-15-2019

STOLEN VEHICLE,450 Treehouse Drive,6-16-2019

VEHICLE CRASH,600 Massie Road  NO PI,6-17-2019

HIT AND RUN,117 11th Street SW,6-17-2019

FOUND PROPERTY,600 McCormick Road,6-17-2019

SIMPLE ASSAULT,1215 Lee St,6-18-2019

LARCENY,120 Darden Blvd,6-18-2019

SIMPLE ASSAULT,1215 Lee St,6-18-2019

HIT &amp; RUN,12 Rotunda Drive   NO PI,6-19-2019

ACCIDENT,525 McCormick Rd  NO PI,6-19-2019

LARCENY,1215 Lee Street,6-19-2019

HIT &amp; RUN,1210 Lee St   NO PI,6-19-2019

SAFEKEEPING,1215 Lee Street,6-20-2019

VANDALISM,1215 Lee Street,6-20-2019

BURGLARY,185 Culbreth Road,6-20-2019

UNCOMFTABLE COMMUNICATIONS,774 Alderman Road,6-20-2019

ASSIST AGENCY/WARRANT SERVICES,1215 Lee Street,6-20-2019

LARCENY,1215 Lee Street,6-20-2019

LARCENY,110 Bayly Drive,6-20-2019

LARCENY,530 Edgemont Rd,6-21-2019

FOUND PROPERTY,774 Alderman Rd,6-21-2019

FOUND PROPERTY,130 Culbreath Road,6-22-2019

DRIVER EXCHANGE,1210 Lee Street  NO PI,6-22-2019

LOST PROPERTY,291 McCormick Road,6-24-2019

ASSIST CITIZEN,1215 Lee Street,6-24-2019

LARCENY,1215 Lee Street,6-25-2019

ASSIST CITIZEN WELFARE CHECK,1215 Lee Street,6-25-2019

ASSIST AGENCYWARRANT SERVICE,100 Darden Blvd,6-25-2019

HIT &amp; RUN,117 11th Street SW,6-26-2019

BURGLARY,115 Ruppel Drive,6-26-2019

ASSAULTSIMPLE,1215 Lee Street,6-26-2019

ASSIST AGENCY,1215 Lee Street,6-26-2019

VANDALISM,2 Dawsons Row,6-27-2019

PROPERTY DAMAGE,1335 Lee Street,6-27-2019

FOUND PROPERTY,1815 Stadium Road,6-28-2019

ASSIST AGENCY: WARRANT,1215 Lee Street,6-28-2019

DRIVERS EXCHANGE,351 McCormick Road NO PI,6-28-2019

INTIMIDATION,1215 Lee Street,6-28-2019

LARCENY,445 Rugby Road,6-29-2019

DOMESTIC ASSAULT,1215 Lee Street,6-29-2019

ASSIST AGENCY,1215 Lee Street,6-29-2019

MEDICAL ASSIST,434 Coogan Way,6-30-2019

ASSIST CITIZEN/MEDICAL,1210 Lee Street,7-1-2019

TRESPASS,1215 Lee Street,7-1-2019

FIRE NOT ARSON,2454 Old Ivy Road,7-1-2019

ASSIST CITIZEN/ECO,1215 Lee Street,7-1-2019

DRIVERS EXCHANGE,382 McCormick Road   NO PI,7-1-2019

ASSIST CITIZEN/MEDICAL,450 Whitehead Road,7-1-2019

LARCENY FROM MOTOR VEHICLE,1210 Lee Street,7-2-2019

ASSIST CITIZEN/MEDICAL,35 Hancock Drive,7-2-2019

DISORDERLY CONDUCT,1215 Lee Street,7-2-2019

THREATENING PHONE CALL,1335 Lee Street,7-3-2019

SUSPICIOUS ACTIVITY,510 Seymour Road,7-3-2019

SUSPICIOUS ACTIVITY,1215 Lee Street,7-3-2019

ASSIST CITIZENMEDICAL,1215 Lee Street,7-3-2019

MISSING PERSON,1215 Lee Street,7-4-2019

DRUNKENNESS IN PUBLIC,16 Elliewood Ave,7-5-2019

LARCENY,395 McCormick Rd,7-5-2019

LARCENY/SHOPLIFTING,1517 University Ave,7-5-2019

ASSIST CITIZEN/MEDICAL,735 Alderman Rd,7-5-2019

TRESPASS,156 Engineers Way,7-6-2019

SEXUAL ASSAULT,2304 Ivy Rd,7-6-2019

PROPERTY DAMAGE,128 Amphitheater Way,7-8-2019

MOTOR VEHICLE THEFT,400 Emmet Street,7-8-2019

PROPERTY DAMAGE,1240 Lee Street     2,7-8-2019

SEXUAL OFFENSE/FORCIBLE RAPE,250 Hereford Drive,7-8-2019

ASSIST AGENCY,1215 Lee Street,7-8-2019

VANDALISM,1240 Lee Street,7-8-2019

TRAFFIC ACCIDENT,1210 Lee Street,7-8-2019

LARCENY,448 Seymour Road #2,7-9-2019

FIRES NOT ARSON,291 McCormick Road,7-9-2019

ASSAULT INTIMIDATION,1215 Lee Street,7-9-2019

NARCOTICS VIOLATION,1215 Lee Street,7-10-2019

ASSIST AGENCY,406 14th Street,7-10-2019

LOST PROPERTY,1220 Lee Street,7-10-2019

DRIVER EXCHANGE,102 Amphitheater Way  NO PI,7-10-2019

PROPERTY DAMAGE,2304 Ivy Road,7-10-2019

VANDALISM,1335 Lee Street,7-11-2019

ACCIDENT,117 11th Lee Street,7-11-2019

